period,periodOrder,region,shortName,locationName,date,year,month,monthLabel,season,latitude,longitude,sampleDepthM,chlorophyllA,suspendedSolids,salinity,temperatureC,secchiDepthM,phaeo,silica,dissolvedInorganicPhosphorus,dissolvedInorganicNitrogen
2024-2025,2,Cape York region,PRN02,PRN02,2025-03-01,2025,3,Mar,Wet season,-12.4622333,143.28405,4.4,0.416,2.015,34.253,,4.4,0.2475,5.82,0.03,0.24500000000000002
2024-2025,2,Cape York region,PRS2.5,PRS2.5,2025-03-01,2025,3,Mar,Wet season,-12.5084333,143.3009,12.5,0.4055,1.26,34.279,,4.5,0.2385,4.77,0.035,0.135
2024-2025,2,Cape York region,PRBB,Middle Reef,2025-03-01,2025,3,Mar,Wet season,-12.5112,143.3709667,21,0.5485,0.665,34.208,,7,0.2895,5.62,0.05,0.4075
2024-2025,2,Cape York region,PRS05,Eel Reef South,2025-02-28,2025,2,Feb,Wet season,-12.5069167,143.4402333,37,0.4613,0.9625,34.458,,11,0.2813,3.6525,0.0525,0.3075
2024-2025,2,Cape York region,NR02,Normanby inshore,2025-03-02,2025,3,Mar,Wet season,-14.3756367,144.1160933,6.4,1.3985,3.395,32.6675,,2.4,0.744,21.825,0.035,0.14
2024-2025,2,Cape York region,NR03,NR03,2025-03-03,2025,3,Mar,Wet season,-14.3073583,144.090145,12.4,0.4593,1.0675,34.2205,,6.8,0.2568,5.2575,0.01,0.1513
2024-2025,2,Cape York region,NR04,NR04,2025-03-03,2025,3,Mar,Wet season,-14.2398883,144.0687117,19,0.4545,1.02,33.874,,12.9,0.2485,3.55,0.025,0.2025
2024-2025,2,Cape York region,NR05,NR05,2025-03-03,2025,3,Mar,Wet season,-14.1629217,144.045765,23.4,0.4525,1.13,33.9435,,13.7,0.269,3.38,0.035,0.23750000000000002
2024-2025,2,Cape York region,NR06,Corbett Reef,2025-03-01,2025,3,Mar,Wet season,-14.0947033,144.0240833,24.3,0.457,0.605,34.2545,,13.4,0.285,3.41,0.04,0.19
2024-2025,2,Cape York region,CI01,CI01,2025-04-03,2025,4,Apr,Wet season,-14.2434667,143.7863667,6.3,0.4595,1.645,29.339,,3.8,0.2625,10.835,0.035,0.235
2024-2025,2,Cape York region,AR02b,AR02,2025-03-25,2025,3,Mar,Wet season,-15.5050783,145.292125,12.3,0.3705,0.6925,29.783,,5.1,0.2133,10.6625,0.025,0.1975
2024-2025,2,Cape York region,AR03b,AR03,2025-03-25,2025,3,Mar,Wet season,-15.4828933,145.3249717,13.8,0.377,0.545,30.175,,6.1,0.2265,10.385,0.03,0.21000000000000002
2024-2025,2,Cape York region,ER02b,Endeavour north shore,2025-03-26,2025,3,Mar,Wet season,-15.4299833,145.26985,11.2,0.5795,1.195,28.904,,7.4,0.314,14.915,0.025,0.22250000000000003
2024-2025,2,Cape York region,ER03,Endeavour offshore,2025-03-26,2025,3,Mar,Wet season,-15.4143833,145.3165167,17.2,0.6175,0.94,29.139,,6,0.349,16.06,0.03,0.17250000000000001
2024-2025,2,Cape York region,AE04,AE04,2025-03-26,2025,3,Mar,Wet season,-15.4419317,145.400205,25.3,0.858,0.9875,31.842,,8.1,0.537,9.0825,0.0875,0.9263
2024-2025,2,Cape York region,PRS01,Pascoe River mouth south,2025-03-20,2025,3,Mar,Wet season,-12.4998333,143.2805833,4.1,0.232,29.08,6.44,,1.3,0.527,138.3,0.12,2.12
2024-2025,2,Cape York region,PRN02,PRN02,2025-03-20,2025,3,Mar,Wet season,-12.4622,143.2843833,4,0.232,2.425,28.861,,4,0.1565,22.37,0.05,0.535
2024-2025,2,Cape York region,PRS2.5,PRS2.5,2025-03-20,2025,3,Mar,Wet season,-12.50875,143.30105,10.5,0.3175,5.49,26.5105,,4,0.242,45.82,0.065,1.155
2024-2025,2,Cape York region,PRBB,Middle Reef,2025-03-20,2025,3,Mar,Wet season,-12.51105,143.3708167,19,0.5655,1.265,33.168,,10,0.405,6.375,0.06,0.355
2024-2025,2,Cape York region,PRN05,PRN05,2025-03-19,2025,3,Mar,Wet season,-12.506,143.4400667,32.9,0.449,0.755,33.035,,11.1,0.3755,7.08,0.0375,0.4425
2024-2025,2,Cape York region,NR02,Normanby inshore,2025-04-04,2025,4,Apr,Wet season,-14.3760667,144.1159,4.5,1.473,6.15,24.821,,1.3,0.848,38.43,0.065,0.45499999999999996
2024-2025,2,Cape York region,NR03,NR03,2025-04-04,2025,4,Apr,Wet season,-14.3074667,144.0901167,10.8,0.3168,0.6925,29.7535,,9.9,0.1905,9.8225,0.0175,0.21000000000000002
2024-2025,2,Cape York region,NR04,NR04,2025-04-04,2025,4,Apr,Wet season,-14.2397,144.0689833,17.1,0.3095,0.25,32.077,,14.2,0.183,3.365,0.02,0.1975
2024-2025,2,Cape York region,NR05,NR05,2025-04-04,2025,4,Apr,Wet season,-14.1690667,144.0490167,21.1,0.804,0.965,32.546,,13.9,0.513,3.83,0.05,0.27999999999999997
2024-2025,2,Cape York region,NR06,Corbett Reef,2025-04-04,2025,4,Apr,Wet season,-14.0946,144.0242167,22.2,0.3143,0.37,32.663,,17.4,0.1938,3.2175,0.025,0.2425
2024-2025,2,Cape York region,AR02b,AR02,2025-06-02,2025,6,Jun,Dry season,-15.505175,145.2923283,11.6,0.2945,,33.6385,,3.38,0.2075,8.13,0.0675,0.2575
2024-2025,2,Cape York region,AR03b,AR03,2025-06-03,2025,6,Jun,Dry season,-15.4828983,145.3250583,13.1,0.252,,33.8125,,5.2,0.185,7.19,0.07,0.325
2024-2025,2,Cape York region,ER02b,Endeavour north shore,2025-05-16,2025,5,May,Dry season,-15.43025,145.2687167,9.8,0.699,2.18,31.5705,,2.4,0.424,14.41,0.06,0.365
2024-2025,2,Cape York region,ER03,Endeavour offshore,2025-05-15,2025,5,May,Dry season,-15.4160667,145.3153,16.6,0.5,2.255,33.178,,4.4,0.301,10.805,0.07,0.4975
2024-2025,2,Cape York region,AE04,AE04,2025-05-15,2025,5,May,Dry season,-15.44245,145.4000167,26,0.5913,1.0075,32.613,,4.7,0.4078,8.935,0.065,0.225
2024-2025,2,Cape York region,ER06,Forrester FLNTU,2025-05-16,2025,5,May,Dry season,-15.1809,145.4835,,0.098,0.44,33.459,,,0.071,,,
2024-2025,2,Cape York region,AR03b,Dawson FLNTU,2025-05-15,2025,5,May,Dry season,-15.5031,145.3222,,0.658,1.53,32.554,,,0.401,,,
2024-2025,2,Cape York region,PRN04,Eel Reef North,2024-11-30,2024,11,Nov,Wet season,-12.4115167,143.35765,25.9,0.132,0.415,35.754,,10.35,0.0615,1.87,0.045,0.325
2024-2025,2,Cape York region,PRN04,Eel Reef North,2024-12-12,2024,12,Dec,Wet season,-12.41205,143.3585833,26.6,0.282,0.29,35.574,,12.8,0.1835,1.29,0.04,0.24
2024-2025,2,Cape York region,PRN04,Eel Reef North,2025-01-07,2025,1,Jan,Wet season,-12.41175,143.3584667,25.8,0.359,0.775,35.324,,9.7,0.2185,1.59,0.015,0.3375
2024-2025,2,Cape York region,PRN04,Eel Reef North,2025-03-01,2025,3,Mar,Wet season,-12.4118333,143.3583833,29.1,0.5305,1.13,34.42,,8.5,0.3105,5.34,0.035,0.30000000000000004
2024-2025,2,Cape York region,PRN04,Eel Reef North,2025-03-19,2025,3,Mar,Wet season,-12.4114333,143.3583333,26.2,0.5015,0.565,32.9235,,9.3,0.3815,6.525,0.04,0.34
2024-2025,2,Burdekin region,BUR13,Burdekin River mooring,2024-01-19,2024,1,Jan,Wet season,-19.5870167,147.5827,8.1,0.6928,2.295,34.93,30.181,3,0.4305,4.1,0.0275,0.34750000000000003
2024-2025,2,Burdekin region,BUR10,Yongala IMOS NRS,2024-01-19,2024,1,Jan,Wet season,-19.3007167,147.6145833,28.1,0.3733,0.1675,34.977,29.18,12.5,0.2033,0.785,0.035,0.23750000000000002
2024-2025,2,Burdekin region,BUR7,Haughton 2,2024-01-20,2024,1,Jan,Wet season,-19.28235,147.1739167,12.8,0.578,1.36,34.8335,29.9235,4,0.307,3.5675,0.035,0.165
2024-2025,2,Burdekin region,BUR4,Geoffrey Bay,2024-01-20,2024,1,Jan,Wet season,-19.1584833,146.8696167,9.7,0.5393,1.135,34.383,30.14,4,0.3025,4.0575,0.0375,0.3175
2024-2025,2,Burdekin region,BUR2,Pandora Reef,2024-01-20,2024,1,Jan,Wet season,-18.8173167,146.4377833,14.1,0.2978,3.7675,34.387,29.822,8.5,0.2283,4.4475,0.0675,0.3175
2024-2025,2,Burdekin region,BUR1,Pelorus / Orpheus Island,2024-01-21,2024,1,Jan,Wet season,-18.543,146.48645,29.3,0.4673,0.495,33.8805,29.405,9,0.383,5.5775,0.07,0.32999999999999996
2024-2025,2,Mackay Whitsunday region,WHI6,O'Connell River,2024-01-09,2024,1,Jan,Wet season,-20.5781333,148.7098,8.4,0.8838,4.9,35.779,30.404,2,0.6028,1.3675,0.0775,0.16
2024-2025,2,Mackay Whitsunday region,WHI7,Repulse Islands dive mooring,2024-01-08,2024,1,Jan,Wet season,-20.57635,148.8607833,18.9,0.3715,2.38,35.6055,29.6105,4,0.245,2.515,0.055,0.24
2024-2025,2,Mackay Whitsunday region,WHI5,Seaforth Island,2024-01-09,2024,1,Jan,Wet season,-20.46815,149.0408667,12.9,0.3558,0.795,35.5615,29.2055,7,0.2713,1.7825,0.05,0.20750000000000002
2024-2025,2,Mackay Whitsunday region,WHI4,Pine Island,2024-01-09,2024,1,Jan,Wet season,-20.37985,148.8876167,21,0.5073,0.8825,35.5535,29.3735,8,0.426,1.65,0.0375,0.31999999999999995
2024-2025,2,Mackay Whitsunday region,WHI1,Double Cone Island,2024-01-09,2024,1,Jan,Wet season,-20.1059667,148.7221667,18.6,0.207,1.1425,35.298,28.7125,6,0.1728,2.1725,0.0525,0.295
2024-2025,2,Mackay Whitsunday region,WHI6,O'Connell River,2024-02-12,2024,2,Feb,Wet season,-20.57737,148.7090483,9.2,1.0128,12.53,34.7385,,1,0.619,12.585,0.105,0.17500000000000002
2024-2025,2,Mackay Whitsunday region,WHI6,O'Connell River,2024-02-12,2024,2,Feb,Wet season,-20.57615,148.73495,,0.803,8.26,34.952,,,0.6015,,,
2024-2025,2,Mackay Whitsunday region,WHI7,Repulse Islands dive mooring,2024-02-12,2024,2,Feb,Wet season,-20.57695,148.86,17.8,0.9608,6.65,35.231,,2,0.7373,6.59,0.0475,0.27999999999999997
2024-2025,2,Mackay Whitsunday region,WHI5,Seaforth Island,2024-02-13,2024,2,Feb,Wet season,-20.4678167,149.0408167,18.6,0.8395,2.95,35.4245,,3,0.5373,4.0525,0.08,0.5525
2024-2025,2,Mackay Whitsunday region,WHI5,Seaforth Island,2024-02-13,2024,2,Feb,Wet season,-20.46845,149.03895,,0.6665,2.645,35.429,,,0.401,,,
2024-2025,2,Mackay Whitsunday region,WHI4,Pine Island,2024-02-13,2024,2,Feb,Wet season,-20.3804167,148.8882,22.8,0.6135,8.19,35.325,,2,0.501,3.8275,0.1125,1.1925
2024-2025,2,Mackay Whitsunday region,WHI4,Pine Island,2024-02-13,2024,2,Feb,Wet season,-20.3779833,148.8883667,,0.493,3.6,35.336,,,0.3655,,,
2024-2025,2,Mackay Whitsunday region,WHI1,Double Cone Island,2024-02-14,2024,2,Feb,Wet season,-20.1064033,148.7223983,25.9,0.5653,2.53,35.2805,,4,0.3635,3.4725,0.075,0.32
2024-2025,2,Mackay Whitsunday region,WHI1,Double Cone Island,2024-02-14,2024,2,Feb,Wet season,-20.1049167,148.72175,,0.5435,2.43,35.261,,,0.3695,,,
2024-2025,2,Burdekin region,BUR13,Burdekin River mooring,2024-02-14,2024,2,Feb,Wet season,-19.58585,147.5830833,8.4,0.4588,2.82,28.903,,1.2,0.3378,32.7825,0.19,1.6800000000000002
2024-2025,2,Burdekin region,BUR13,Burdekin River mooring,2024-02-14,2024,2,Feb,Wet season,-19.58585,147.5830833,8.4,0.3745,0.235,30.367,,1.2,0.352,,,
2024-2025,2,Burdekin region,BUR10,Yongala IMOS NRS,2024-02-15,2024,2,Feb,Wet season,-19.3062917,147.6216333,29,0.4438,0.3375,34.755,,18,0.2425,3.3575,0.03,0.28
2024-2025,2,Burdekin region,BUR7,Haughton 2,2024-02-15,2024,2,Feb,Wet season,-19.2820167,147.1733,14.9,0.641,1.415,32.811,,3.5,0.297,19.9825,0.0825,0.625
2024-2025,2,Burdekin region,BUR4,Geoffrey Bay,2024-02-16,2024,2,Feb,Wet season,-19.1573433,146.8698283,11.5,0.414,1.105,32.9335,,4,0.2188,17.065,0.045,0.24
2024-2025,2,Burdekin region,BUR4,Geoffrey Bay,2024-02-15,2024,2,Feb,Wet season,-19.15495,146.8684833,,0.388,2.54,32.823,,,0.235,,,
2024-2025,2,Burdekin region,BUR2,Pandora Reef,2024-02-16,2024,2,Feb,Wet season,-18.8180217,146.4390717,14.8,0.3378,1.1875,33.4525,,4,0.222,12.2325,0.055,0.3125
2024-2025,2,Burdekin region,BUR2,Pandora Reef,2024-02-16,2024,2,Feb,Wet season,-18.8168,146.4345667,,0.239,2.35,33.457,,,0.212,,,
2024-2025,2,Burdekin region,BUR1,Pelorus / Orpheus Island,2024-02-17,2024,2,Feb,Wet season,-18.5417383,146.4863383,31.7,0.268,1.0625,33.865,,5.5,0.1738,6.285,0.065,0.36
2024-2025,2,Burdekin region,BUR1,Pelorus / Orpheus Island,2024-02-17,2024,2,Feb,Wet season,-18.5405833,146.48855,,0.2105,1.025,33.77,,,0.19,,,
2024-2025,2,Wet Tropics region,TUL10,Tully River Mouth mooring,2024-02-17,2024,2,Feb,Wet season,-18.02165,146.0731667,8.5,0.5718,3.82,26.222,,1.5,0.4618,47.4,0.07,0.635
2024-2025,2,Wet Tropics region,TUL10,Tully River Mouth mooring,2024-02-17,2024,2,Feb,Wet season,-18.02165,146.0731667,8.5,0.666,3.44,26.317,,1.5,0.538,,,
2024-2025,2,Wet Tropics region,TUL2,East Clump Point,2024-02-18,2024,2,Feb,Wet season,-17.8885,146.2604833,27.6,0.2445,0.54,33.7165,,7,0.1795,5.41,0.035,0.13
2024-2025,2,Wet Tropics region,TUL5,Dunk Island South East,2024-02-18,2024,2,Feb,Wet season,-17.9597,146.1917667,26.8,0.3203,1.515,33.0245,,5.5,0.2378,9.6625,0.06,0.17250000000000001
2024-2025,2,Wet Tropics region,TUL8,Bedarra Island,2024-02-17,2024,2,Feb,Wet season,-18.0136833,146.1337167,11.8,0.4175,5.1925,31.5065,,4.5,0.355,19.9425,0.06,0.2625
2024-2025,2,Wet Tropics region,TUL6,Between Tam Oshanter and Timana,2024-02-18,2024,2,Feb,Wet season,-17.9744583,146.1171267,10.8,0.7248,6.26,28.475,,2,0.5428,31.51,0.08,0.5225
2024-2025,2,Wet Tropics region,TUL3,Dunk Island,2024-02-18,2024,2,Feb,Wet season,-17.9244417,146.1434383,10.5,0.558,2.5075,32.3205,,4,0.3633,15.1575,0.095,0.6475
2024-2025,2,Wet Tropics region,TUL3,Dunk Island,2024-02-18,2024,2,Feb,Wet season,-17.9262833,146.1461333,,0.6315,5.4,32.87,,,0.5045,,,
2024-2025,2,Wet Tropics region,RM10,Russell-Mulgrave River mooring,2024-02-19,2024,2,Feb,Wet season,-17.1979667,145.9814833,11.8,0.2655,0.7925,30.842,,5.5,0.195,17.5025,0.0425,0.16000000000000003
2024-2025,2,Wet Tropics region,RM10,Russell-Mulgrave River mooring,2024-02-19,2024,2,Feb,Wet season,-17.1979667,145.9814833,11.8,0.2675,0.795,31.01,,5.5,0.192,,,
2024-2025,2,Wet Tropics region,RM7,Russell Island (Franklands),2024-02-19,2024,2,Feb,Wet season,-17.2266167,146.0873667,25.4,0.305,0.725,33.2155,,10,0.1885,7.7825,0.06,0.27499999999999997
2024-2025,2,Wet Tropics region,RM7,Russell Island (Franklands),2024-02-19,2024,2,Feb,Wet season,-17.2269667,146.0903667,,0.2255,0.665,33.548,,,0.1885,,,
2024-2025,2,Wet Tropics region,RM8,High Island,2024-02-20,2024,2,Feb,Wet season,-17.1629,146.0047333,24.4,0.4818,1.0625,32.0995,,7,0.293,14.375,0.0725,0.48749999999999993
2024-2025,2,Wet Tropics region,RM8,High Island,2024-02-20,2024,2,Feb,Wet season,-17.16215,146.0069867,,0.213,0.735,31.307,,,0.1745,,,
2024-2025,2,Wet Tropics region,RM3,RM3,2024-02-20,2024,2,Feb,Wet season,-17.0702233,145.9934517,20.8,0.3555,0.785,32.485,,9.5,0.2328,10.9475,0.05,0.2275
2024-2025,2,Wet Tropics region,RM1,Fitzroy Island coral site,2024-02-20,2024,2,Feb,Wet season,-16.9206333,145.9974333,18.3,0.25,0.31,33.1945,,9,0.1933,7.5175,0.06,0.245
2024-2025,2,Wet Tropics region,RM1,Fitzroy Island coral site,2024-02-20,2024,2,Feb,Wet season,-16.92315,145.99625,,0.2375,0.6625,32.902,,,0.2745,,,
2024-2025,2,Wet Tropics region,C11,Green Island,2024-02-20,2024,2,Feb,Wet season,-16.77285,145.9538167,41.6,0.2533,0.2975,33.302,,17,0.2393,8.1075,0.1125,0.855
2024-2025,2,Wet Tropics region,C8,Fairlead Buoy,2024-02-22,2024,2,Feb,Wet season,-16.84785,145.8374833,9.9,0.4245,0.685,32.6635,,6,0.2883,8.8125,0.0425,0.1375
2024-2025,2,Wet Tropics region,C6,Yorkey's Knob,2024-02-20,2024,2,Feb,Wet season,-16.7873667,145.74765,12.2,0.258,0.7425,32.273,,4.5,0.1878,11.0925,0.035,0.1975
2024-2025,2,Wet Tropics region,C5,Double Island,2024-02-21,2024,2,Feb,Wet season,-16.6635583,145.7029883,22.3,0.3223,0.155,32.649,,16,0.198,9.5725,0.045,0.1925
2024-2025,2,Wet Tropics region,C4,Port Douglas,2024-02-21,2024,2,Feb,Wet season,-16.4097833,145.5113333,19.1,0.3305,0.84,32.792,,8,0.2025,8.3175,0.0475,0.25
2024-2025,2,Wet Tropics region,C1,Cape Tribulation,2024-02-21,2024,2,Feb,Wet season,-16.1123833,145.4836,19.2,0.2595,0.7475,32.85,,8,0.175,9.37,0.0375,0.2
2024-2025,2,Wet Tropics region,RM10,Russell-Mulgrave River mooring,2024-03-25,2024,3,Mar,Wet season,-17.2027167,145.97735,7,0.3828,1.0875,28.7245,29.03,4,0.2833,43.775,0.07,1.23
2024-2025,2,Wet Tropics region,RM7,Russell Island (Franklands),2024-03-26,2024,3,Mar,Wet season,-17.22675,146.08695,21.2,0.5508,,32.2995,29.0235,8,0.3848,13.76,0.0525,0.27499999999999997
2024-2025,2,Wet Tropics region,RM8,High Island,2024-03-26,2024,3,Mar,Wet season,-17.1628167,146.0045833,22.3,0.4945,,25.4465,29.396,5,0.3358,41.8175,0.095,2.04
2024-2025,2,Wet Tropics region,RM3,RM3,2024-03-25,2024,3,Mar,Wet season,-17.0690833,145.99355,20.2,0.3785,,30.372,28.638,9,0.292,25.0875,0.0825,0.8574999999999999
2024-2025,2,Wet Tropics region,RM1,Fitzroy Island coral site,2024-03-26,2024,3,Mar,Wet season,-16.91995,145.99715,15.5,0.3908,,32.3795,28.869,9,0.27,11.9575,0.0675,0.66
2024-2025,2,Wet Tropics region,TUL2,East Clump Point,2024-03-26,2024,3,Mar,Wet season,-17.8898167,146.2599167,25,0.393,0.715,31.93,28.588,9,0.3033,17.0925,0.075,0.7425000000000002
2024-2025,2,Wet Tropics region,TUL5,Dunk Island South East,2024-03-27,2024,3,Mar,Wet season,-17.9576333,146.1903667,23.8,0.4563,1.405,30.2525,28.5845,7,0.3778,29.4875,0.0975,0.7225
2024-2025,2,Wet Tropics region,TUL8,Bedarra Island,2024-03-27,2024,3,Mar,Wet season,-18.0143167,146.1337333,9.5,0.6923,1.5025,27.805,28.6785,4,0.532,45.6625,0.1025,0.8474999999999999
2024-2025,2,Wet Tropics region,TUL10,Tully River Mouth mooring,2024-03-27,2024,3,Mar,Wet season,-18.0235,146.0747167,6.5,1.1555,5.495,30.474,28.928,2.5,0.7545,34.6375,0.095,1.3275000000000001
2024-2025,2,Wet Tropics region,TUL6,Between Tam Oshanter and Timana,2024-03-27,2024,3,Mar,Wet season,-17.9761167,146.1162167,7.6,0.929,2.1575,28.147,28.9755,4,0.6108,40.515,0.0975,0.845
2024-2025,2,Wet Tropics region,TUL3,Dunk Island,2024-03-27,2024,3,Mar,Wet season,-17.9251,146.1431833,8.6,0.6618,1.4025,32.425,28.901,4.5,0.5643,15.0075,0.065,0.3375
2024-2025,2,Mackay Whitsunday region,WHI6,O'Connell River,2024-03-03,2024,3,Mar,Wet season,-20.5761333,148.7074,7,0.8753,3.385,23.7045,29.009,2,0.5805,68.22,0.275,0.485
2024-2025,2,Mackay Whitsunday region,WHI7,Repulse Islands dive mooring,2024-03-03,2024,3,Mar,Wet season,-20.5769667,148.86015,17.5,0.3678,1.99,32.2895,28.796,6.5,0.2658,14.4975,0.1325,1.2000000000000002
2024-2025,2,Mackay Whitsunday region,WHI5,Seaforth Island,2024-03-04,2024,3,Mar,Wet season,-20.4684333,149.0402167,13.8,0.4063,0.72,34.6085,28.8835,9,0.3098,3.1575,0.0625,0.4675
2024-2025,2,Mackay Whitsunday region,WHI4,Pine Island,2024-03-04,2024,3,Mar,Wet season,-20.3799833,148.8876167,21.7,0.3418,0.4,34.9185,29.327,10,0.2705,2.96,0.06,0.5475
2024-2025,2,Mackay Whitsunday region,WHI1,Double Cone Island,2024-03-03,2024,3,Mar,Wet season,-20.1062667,148.7218167,18,0.333,0.9,34.996,29.119,7.5,0.1865,1.4575,0.0425,0.2575
2024-2025,2,Mackay Whitsunday region,WHI6,O'Connell River,2024-06-01,2024,6,Jun,Dry season,-20.5778667,148.7097333,7,0.4255,2.355,35.723,22.6705,3,0.2913,7.715,0.14,0.2125
2024-2025,2,Mackay Whitsunday region,WHI6,O'Connell River,2024-06-01,2024,6,Jun,Dry season,-20.5778667,148.7097333,7,0.2925,1.105,35.713,,,0.214,,,
2024-2025,2,Mackay Whitsunday region,WHI7,Repulse Islands dive mooring,2024-06-01,2024,6,Jun,Dry season,-20.5763333,148.8590333,18,0.3,1.595,35.798,22.861,5,0.1253,2.535,0.06,0.35500000000000004
2024-2025,2,Mackay Whitsunday region,WHI5,Seaforth Island,2024-06-01,2024,6,Jun,Dry season,-20.4686333,149.0401167,18,0.3515,1.065,35.6855,23.3425,7,0.2308,2.2,0.0625,0.33
2024-2025,2,Mackay Whitsunday region,WHI5,Seaforth Island,2024-06-01,2024,6,Jun,Dry season,-20.46845,149.03895,,0.249,0.88,35.65,,,0.1995,,,
2024-2025,2,Mackay Whitsunday region,WHI4,Pine Island,2024-06-01,2024,6,Jun,Dry season,-20.3803667,148.8875833,22,0.4648,1.7525,35.7005,23.1015,4,0.3725,3.0675,0.095,0.58
2024-2025,2,Mackay Whitsunday region,WHI4,Pine Island,2024-06-01,2024,6,Jun,Dry season,-20.3779833,148.8883667,,0.397,0.435,35.698,,,0.287,,,
2024-2025,2,Mackay Whitsunday region,WHI1,Double Cone Island,2024-06-02,2024,6,Jun,Dry season,-20.1065833,148.7219,22,0.321,1.06,35.521,24.0805,6,0.1033,1.7025,0.0675,0.19250000000000003
2024-2025,2,Mackay Whitsunday region,WHI1,Double Cone Island,2024-06-02,2024,6,Jun,Dry season,-20.1049167,148.72175,,0.148,0.7,35.522,,,0.0995,,,
2024-2025,2,Burdekin region,BUR13,Burdekin River mooring,2024-06-02,2024,6,Jun,Dry season,-19.5882667,147.5849333,8.5,0.4988,1.39,35.2395,23.4525,4,0.34,6.17,0.05,0.3125
2024-2025,2,Burdekin region,BUR13,Burdekin River mooring,2024-06-02,2024,6,Jun,Dry season,-19.5882667,147.5849333,8.5,0.39,1.47,35.21,,4,0.2795,,,
2024-2025,2,Burdekin region,BUR10,Yongala IMOS NRS,2024-06-03,2024,6,Jun,Dry season,-19.3028833,147.6187167,29,0.1093,0.1575,35.4055,24.528,15,0.0813,1.1325,0.0725,0.14750000000000002
2024-2025,2,Burdekin region,BUR7,Haughton 2,2024-06-04,2024,6,Jun,Dry season,-19.2833333,147.1735833,14,0.2943,1.435,35.597,23.415,4.5,0.1743,2.7275,0.0675,0.16000000000000003
2024-2025,2,Burdekin region,BUR4,Geoffrey Bay,2024-06-04,2024,6,Jun,Dry season,-19.1577167,146.8698833,9.5,0.381,1.4975,35.6685,23.5235,4,0.325,4.77,0.1,0.17
2024-2025,2,Burdekin region,BUR4,Geoffrey Bay,2024-06-04,2024,6,Jun,Dry season,-19.15495,146.8684833,,0.2795,,35.627,,,0.257,,,
2024-2025,2,Burdekin region,BUR2,Pandora Reef,2024-06-05,2024,6,Jun,Dry season,-18.8177167,146.4378167,13,0.195,,35.5425,24.836,5.5,0.135,3.8525,0.095,0.215
2024-2025,2,Burdekin region,BUR2,Pandora Reef,2024-06-05,2024,6,Jun,Dry season,-18.8168,146.4345667,,0.096,,35.533,,,0.058,,,
2024-2025,2,Burdekin region,BUR1,Pelorus / Orpheus Island,2024-06-05,2024,6,Jun,Dry season,-18.5428,146.4862167,23.5,0.297,,35.475,24.407,6,0.1915,2.56,0.095,0.2
2024-2025,2,Burdekin region,BUR1,Pelorus / Orpheus Island,2024-06-05,2024,6,Jun,Dry season,-18.5405833,146.48855,,0.191,,35.436,,,0.144,,,
2024-2025,2,Wet Tropics region,TUL10,Tully River Mouth mooring,2024-06-05,2024,6,Jun,Dry season,-18.0224667,146.0753333,8,0.2908,,34.0215,24.592,5,0.1643,14.19,0.08,0.1325
2024-2025,2,Wet Tropics region,TUL10,Tully River Mouth mooring,2024-06-05,2024,6,Jun,Dry season,-18.0224667,146.0753333,8,0.312,,33.854,,5,0.172,,,
2024-2025,2,Wet Tropics region,TUL2,East Clump Point,2024-06-06,2024,6,Jun,Dry season,-17.8903833,146.2601,26,0.1565,,35.3795,24.6425,9,0.096,2.245,0.0925,0.1875
2024-2025,2,Wet Tropics region,TUL5,Dunk Island South East,2024-06-06,2024,6,Jun,Dry season,-17.9604167,146.1909167,25,0.2815,,34.9655,24.481,9,0.0305,6.225,0.085,0.1775
2024-2025,2,Wet Tropics region,TUL8,Bedarra Island,2024-06-05,2024,6,Jun,Dry season,-18.0134833,146.1337333,11,0.3318,,33.4975,24.299,5,0.0358,16.8975,0.085,0.26749999999999996
2024-2025,2,Wet Tropics region,TUL6,Between Tam Oshanter and Timana,2024-06-06,2024,6,Jun,Dry season,-17.9756,146.1164,8,0.2623,,33.728,24.611,5,0.032,15.655,0.07,0.1925
2024-2025,2,Wet Tropics region,TUL3,Dunk Island,2024-06-06,2024,6,Jun,Dry season,-17.9249833,146.1433333,9,0.198,,34.596,24.652,8,0.0125,9.1125,0.08,0.2725
2024-2025,2,Wet Tropics region,TUL3,Dunk Island,2024-06-06,2024,6,Jun,Dry season,-17.9262833,146.1461333,,0.167,,34.677,,,0.027,,,
2024-2025,2,Wet Tropics region,RM10,Russell-Mulgrave River mooring,2024-06-07,2024,6,Jun,Dry season,-17.2032667,145.9795667,8.5,0.3488,,33.087,24.112,3,0.2528,17.675,0.0925,0.48250000000000004
2024-2025,2,Wet Tropics region,RM10,Russell-Mulgrave River mooring,2024-06-07,2024,6,Jun,Dry season,-17.2032667,145.9795667,8.5,0.314,,33.598,,3,0.2295,,,
2024-2025,2,Wet Tropics region,RM7,Russell Island (Franklands),2024-06-07,2024,6,Jun,Dry season,-17.2274167,146.08745,24,0.162,,35.0685,24.461,5,0.1095,4.0975,0.0825,0.14
2024-2025,2,Wet Tropics region,RM7,Russell Island (Franklands),2024-06-07,2024,6,Jun,Dry season,-17.2269667,146.0903667,,0.151,,35.066,,,0.1075,,,
2024-2025,2,Wet Tropics region,RM8,High Island,2024-06-08,2024,6,Jun,Dry season,-17.1637167,146.0048167,24,0.3085,,34.1905,24.4365,6,0.1698,10.5,0.095,0.25
