regionCode,region,rainfallMm,dischargeGl,dinOverallProgress,dinLatestProgress,sedimentOverallProgress,sedimentLatestProgress,pesticideProtection,inshoreMarineGrade,inshoreMarineGradeRank,waterQualityCondition,waterQualityRank,latestMedianSS,latestMedianSalinity,latestMedianSecchiDepthM,latestMedianChl
CY,Cape York region,1449,16415,,,,0.9,,Moderate,3,Moderate,3,0.9,33.56,6.5,0.36
WT,Wet Tropics region,2063,23487,29.2,0.7,15.1,0.9,96,Moderate,3,Moderate,3,1.46,33.03,5,0.37
Bu,Burdekin region,702,12721,36,2,19.3,0.5,94.6,Moderate,3,Moderate,3,1.48,33.77,4,0.47
MW,Mackay Whitsunday region,1550,6197,29.1,0.7,14.3,1.2,80.3,Poor,2,Poor,2,2.48,34.98,4,0.49
FZ,Fitzroy region,716,9226,,,11.7,1.4,94.4,Poor,2,Moderate,3,1.17,35.56,5.75,0.39
BM,Burnett Mary region,875,5455,34.2,0.1,9.5,0.3,96.2,Poor,2,Poor,2,,,,
