period,periodOrder,region,shortName,locationName,latitude,longitude,sampleCount,meanChlorophyllA,meanSuspendedSolids,meanSalinity,meanSecchiDepthM,wetSeasonMeanSS,wetSeasonMeanSalinity,wetSeasonMeanChl,drySeasonMeanSS,drySeasonMeanSalinity,drySeasonMeanChl
2021-2022,1,Cape York region,PRN02,PRN02,-12.4627833,143.28365,11,0.2,1.01,31.92,3.67,1.13,31.44,0.2,0.43,34.07,0.2
2021-2022,1,Cape York region,PRN04,PRN04,-12.4120833,143.3585167,5,0.33,0.94,33.4,9.21,0.94,33.4,0.33,,,
2021-2022,1,Cape York region,PRS01,PRS01,-12.4995167,143.2803333,10,0.23,7.1,23.75,2.17,8.37,22.42,0.25,2.02,34.45,0.15
2021-2022,1,Cape York region,PRS05,PRS05,-12.5067667,143.4407,12,0.35,1.32,34.58,9.7,1.25,34.57,0.35,1.68,34.62,0.34
2021-2022,1,Cape York region,PRS2.5,PRS2.5,-12.50885,143.3008667,11,0.31,1.17,33.91,6.47,1.1,33.79,0.33,1.48,34.43,0.21
2021-2022,1,Cape York region,SR02,SR02,-14.04495,143.6995,10,0.32,2.81,32.6,4.1,2.98,32.68,0.33,1.26,31.82,0.22
2021-2022,1,Cape York region,SR03,SR03,-13.98672,143.71665,10,0.3,2.08,33.57,4.74,2.19,33.63,0.31,1.06,32.96,0.23
2021-2022,1,Cape York region,SR04,SR04,-13.9265,143.73053,9,0.21,1.55,34.05,8.06,1.62,34.15,0.21,0.96,33.28,0.28
2021-2022,1,Cape York region,SR05,SR05,-13.882,143.72287,9,0.26,1.14,33.82,8.18,1.13,33.87,0.25,1.27,33.42,0.36
2021-2022,1,Fitzroy region,FTZ1,Barren Island,-23.15155,151.0691667,27,0.22,0.77,35.41,11.45,0.91,35.56,0.21,0.65,35.29,0.22
2021-2022,1,Fitzroy region,FTZ2,Humpy Island,-23.2167667,150.9600167,27,0.26,1.08,35.39,8.61,1.24,35.58,0.28,0.96,35.24,0.25
2021-2022,1,Fitzroy region,FTZ3,Pelican Island,-23.2327,150.873,21,0.41,3.05,35.04,4.41,2.62,35,0.39,3.48,35.08,0.42
2021-2022,1,Fitzroy region,FTZ4,North Keppel Island,-23.09215,150.9131667,21,0.28,0.96,35.36,8.92,1.16,35.52,0.3,0.78,35.22,0.25
2021-2022,1,Fitzroy region,FTZ5,Peak West,-23.3409667,150.9050333,21,0.49,4.23,35.08,2.86,3.57,35.06,0.46,4.83,35.11,0.52
2021-2022,1,Fitzroy region,FTZ6,Fitzroy River Mouth,-23.4707333,150.9397333,27,0.85,19.17,34.39,0.87,19.13,33.98,0.83,19.19,34.72,0.86
2021-2022,1,Mackay Whitsunday region,WHI1,Double Cone Island,-20.1060667,148.7219667,15,0.32,1.45,35.06,5.45,1.38,34.87,0.35,1.54,35.27,0.27
2021-2022,1,Mackay Whitsunday region,WHI4,Pine Island,-20.3800833,148.8876667,15,0.43,2.11,35.1,6.15,2.15,34.94,0.49,2.06,35.29,0.36
2021-2022,1,Mackay Whitsunday region,WHI5,Seaforth Island,-20.46825,149.0395,16,0.37,1.89,35.12,5.4,1.6,34.89,0.39,2.17,35.35,0.36
2021-2022,1,Mackay Whitsunday region,WHI6,O'Connell River,-20.5778833,148.7097333,16,0.6,2.13,34.62,4.07,2.32,33.9,0.72,1.93,35.35,0.47
2021-2022,1,Mackay Whitsunday region,WHI7,Repulse Islands dive mooring,-20.57675,148.86025,11,0.53,4.25,34.93,4,4.42,34.63,0.57,3.94,35.44,0.47
2021-2022,1,Wet Tropics region,C1,Cape Tribulation,-16.1116667,145.4816667,6,0.29,0.89,34.27,9,0.69,34.1,0.27,1.09,34.43,0.3
2021-2022,1,Wet Tropics region,C11,Green Island,-16.7716667,145.955,6,0.2,0.32,34.68,16.67,0.16,34.42,0.19,0.48,34.93,0.2
2021-2022,1,Wet Tropics region,C4,Port Douglas,-16.4083333,145.5066667,6,0.25,1.16,34.05,8.2,1.02,33.63,0.21,1.3,34.47,0.28
2021-2022,1,Wet Tropics region,C5,Double Island,-16.6616667,145.705,6,0.28,0.89,34.33,9.17,0.74,34.06,0.27,1.04,34.61,0.3
2021-2022,1,Wet Tropics region,C6,Yorkey's Knob,-16.7866667,145.7466667,6,0.36,1.7,34.03,5,1.24,33.65,0.27,2.16,34.41,0.44
2021-2022,1,Wet Tropics region,C8,Fairlead Buoy,-16.8466667,145.8366667,6,0.4,2.36,34.22,3.83,2.14,33.8,0.31,2.59,34.63,0.49
2021-2022,1,Wet Tropics region,RM1,Fitzroy Island coral site,-16.92,145.995,16,0.19,0.74,34.38,10.5,0.7,34.09,0.17,0.8,34.85,0.23
2021-2022,1,Wet Tropics region,RM10,Russell Mulgrave Mouth Mooring,-17.20292,145.97865,26,0.46,2.41,30.94,4.15,2.12,30.23,0.43,2.74,31.76,0.49
2021-2022,1,Wet Tropics region,RM3,RM3,-17.069,145.9939333,19,0.36,1.27,33.66,9.05,1.05,33.48,0.37,1.75,34.07,0.33
2021-2022,1,Wet Tropics region,RM7,Russell Island,-17.2265167,146.0873667,25,0.26,0.89,33.91,10.12,0.81,33.5,0.32,0.97,34.36,0.21
2021-2022,1,Wet Tropics region,RM8,High Island West,-17.1632333,146.0048333,26,0.35,1.41,33.45,7.4,1.29,33.29,0.35,1.59,33.72,0.36
2021-2022,1,Wet Tropics region,TUL1,King,-17.7936333,146.1445,2,0.53,3.39,26.04,2,3.39,26.04,0.53,,,
2021-2022,1,Wet Tropics region,TUL10,Tully Mouth,-18.02235,146.0748167,28,0.57,7.35,29.44,3.16,8.34,27.25,0.59,5.81,32.84,0.54
2021-2022,1,Wet Tropics region,TUL11,Tully River,-18.03375,146.0558833,2,0.14,32.4,0.01,0.38,32.4,0.01,0.14,,,
2021-2022,1,Wet Tropics region,TUL2,Clump Point East,-17.8903833,146.2602333,22,0.31,1.21,34.07,10.94,1.4,33.72,0.34,0.8,34.84,0.26
